FIPS_STATE,INSURANCE,FIPS_COUNTY,AGECAT2,AGECAT6,RACECAT,SEXCAT,DEMENTIACAT,atc,bene_cnt,inc_cnt,prev_cnt,covid_cnt,mort_cnt
01,,37,1,,,,,,2162,90,285,,
01,,39,0,,,,,,2119,45,143,23,13
01,,39,1,,,,,,7954,384,1351,261,243
01,,41,0,,,,,,692,21,54,,
01,,41,1,,,,,,2828,150,492,,
01,,43,0,,,,,,3783,93,269,24,15
01,,43,1,,,,,,16100,877,2421,301,478
01,,45,0,,,,,,2492,36,137,21,
01,,45,1,,,,,,9042,493,1497,249,
01,,47,0,,,,,,3114,58,185,35,26
01,,47,1,,,,,,7507,395,1300,267,240
01,,49,0,,,,,,3150,48,153,20,14
01,,49,1,,,,,,12071,655,1723,255,349
01,,51,0,,,,,,3434,90,252,27,27
01,,51,1,,,,,,14656,909,2656,310,445
01,,53,0,,,,,,1884,27,90,,
01,,53,1,,,,,,6771,374,1129,,
01,,55,0,,,,,,6152,133,379,87,41
01,,55,1,,,,,,19670,1064,3163,618,632
01,,57,0,,,,,,896,16,44,,
01,,57,1,,,,,,3127,192,599,,
01,,59,0,,,,,,1496,21,71,13,
01,,59,1,,,,,,5667,264,899,147,
01,,61,0,,,,,,1374,21,77,,
01,,61,1,,,,,,5504,289,860,,
01,,63,0,,,,,,576,13,37,,
01,,63,1,,,,,,1628,91,294,,
01,,65,0,,,,,,1333,27,78,18,
01,,65,1,,,,,,3145,190,622,83,
01,,67,0,,,,,,920,,44,,
01,,67,1,,,,,,3830,,530,,
01,,69,0,,,,,,4997,99,298,30,21
01,,69,1,,,,,,18643,994,2890,362,510
01,,71,0,,,,,,2574,47,134,11,14
01,,71,1,,,,,,11466,538,1561,186,315
01,,73,0,,,,,,26470,651,1980,258,169
01,,73,1,,,,,,122383,6658,20181,2535,3693
01,,75,0,,,,,,875,14,50,12,
01,,75,1,,,,,,3122,169,552,130,
01,,77,0,,,,,,4203,77,243,39,23
01,,77,1,,,,,,18737,1010,3137,429,570
01,,79,0,,,,,,1276,28,58,,
01,,79,1,,,,,,4915,219,665,,
01,,81,0,,,,,,4203,88,252,35,27
01,,81,1,,,,,,17990,982,2929,290,477
01,,83,0,,,,,,2627,35,116,13,
01,,83,1,,,,,,12845,557,1644,241,
01,,85,0,,,,,,612,,38,,
01,,85,1,,,,,,1840,,348,,
01,,87,0,,,,,,1117,23,63,,12
01,,87,1,,,,,,3963,204,669,,130
01,,89,0,,,,,,9719,193,531,80,37
01,,89,1,,,,,,59925,2793,8192,871,1459
01,,91,0,,,,,,1260,20,80,,
01,,91,1,,,,,,3444,216,627,,
01,,93,0,,,,,,1424,23,65,15,11
01,,93,1,,,,,,5458,361,970,147,194
01,,95,0,,,,,,4387,93,284,39,25
01,,95,1,,,,,,17518,909,3036,495,545
01,,97,0,,,,,,16667,432,1167,180,112
01,,97,1,,,,,,67459,4014,11185,1323,1966
01,,99,0,,,,,,1144,18,50,,
01,,99,1,,,,,,3754,211,557,,
01,,101,0,,,,,,9778,272,744,114,78
01,,101,1,,,,,,34795,2443,7036,889,1215
01,,103,0,,,,,,5088,95,282,39,24
01,,103,1,,,,,,22878,1128,3361,487,665
01,,105,0,,,,,,645,,41,,
01,,105,1,,,,,,1567,,320,,
01,,107,0,,,,,,1172,36,80,17,
01,,107,1,,,,,,3720,223,686,88,
01,,109,0,,,,,,1426,25,91,,
01,,109,1,,,,,,5276,288,897,,
01,,111,0,,,,,,1116,26,63,,
01,,111,1,,,,,,4455,217,591,,
01,,113,0,,,,,,3133,50,172,15,17
